Adlam	Phonetic	Part of Speech	Definitions	Tags
𞤳𞤭𞤬𞤮	kiθo	noun (G1/G2)	head	
𞤨𞤮	po	noun (G1/G2)	eye	
𞤹𞤫𞤤𞤭	qɛli	noun (G1/G2)	mouth	
𞤸𞤫𞤩𞤭	ɬɛɓi	noun (G1)	hand	
𞤢𞤼𞥇𞤫𞤬𞤢	atʼɛθa	noun (G1/G2)	foot	
𞤹𞤭𞤲𞤭	qini	noun (G3)	river	
𞤩𞤢𞤲𞤮	ɓano	noun (G4)	clay	
𞤢𞤨𞥇𞤢𞤹𞤮	apʼaqo	noun (G5)	hill	
𞤯𞤫𞤸𞤮	ɗɛɬo	noun (G5)	house	
𞤢𞤼𞥇𞤫𞤹𞤭	atʼɛqi	noun (G3)	road/path	
𞤩𞤫𞤲𞤮	ɓɛno	noun (G3)	sun	
𞤥𞤭𞤼𞥇𞤭	mitʼi	noun (G3)	moon	
𞤸𞤢𞤬𞤢	ɬaθa	noun (G3)	rain	
𞤢𞤼𞥇𞤢𞤼𞤢	atʼata	noun (G3)	snow	
𞤩𞤭𞤼𞤮	ɓito	noun (G6)	day	
𞤥𞤢	ma	noun (G4)	tree	
𞤢𞤨𞥇𞤢𞤹𞥇𞤮	apʼaqʼo	noun (G4)	grass	
𞤳𞤫𞤩𞤭	kɛɓi	noun (G4)	berry	
𞤯𞤮𞤬𞤢	ɗoθa	noun (G4)	rose	
𞤬𞤭𞤼𞤮	θito	noun (G4)	vine	
𞤦𞤢	ba	noun (G2)	squirrel	
𞤳𞤮𞤦𞤭	kobi	noun (G2)	dog	
𞤬𞤮	θo	noun (G2)	cat	
𞤳𞤭𞤤𞤮	kilo	noun (G2)	small bird	
𞤢𞤹𞥇𞤢𞤹𞤮	aqʼaqo	noun (G2)	fish	
𞤸𞤢	ɬa	verb	eat	
𞤼𞤢	ta	verb	throw (pottery)	
𞤢𞤼𞥇𞤢𞤹𞤢	atʼaqa	verb	wear (clothing)	
𞤯𞤢	ɗa	verb	make	
𞤢𞤨𞥇𞤫𞤼𞤢	apʼɛta	verb	cook (with heat)	
𞤥𞤮𞤺𞤢	moga	verb	shine	
𞤢𞤹𞥇𞤢𞤬𞤢	aqʼaθa	verb	speak	
𞤤𞤢	la	verb	go	
𞤢𞤳𞥇𞤢	akʼa	verb	sit	
𞤩𞤢	ɓa	verb	idle	
