Adlam	Phonetic	Part of Speech	Definitions	Tags
𞤢𞤨𞥇𞤢𞤹𞤮	apʼaqo	noun (G5)	hill	
𞤢𞤨𞥇𞤢𞤹𞥇𞤮	apʼaqʼo	noun (G4)	grass	
𞤢𞤨𞥇𞤫𞤼𞤢	apʼɛta	verb	cook (with heat)	
𞤢𞤳𞥇𞤢	akʼa	verb	sit	
𞤢𞤹𞥇𞤢𞤬𞤢	aqʼaθa	verb	speak	
𞤢𞤹𞥇𞤢𞤹𞤮	aqʼaqo	noun (G2)	fish	
𞤢𞤼𞥇𞤢𞤹𞤢	atʼaqa	verb	wear (clothing)	
𞤢𞤼𞥇𞤢𞤼𞤢	atʼata	noun (G3)	snow	
𞤢𞤼𞥇𞤫𞤬𞤢	atʼɛθa	noun (G1/G2)	foot	
𞤢𞤼𞥇𞤫𞤹𞤭	atʼɛqi	noun (G3)	road/path	
𞤤𞤢	la	verb	go	
𞤥𞤢	ma	noun (G4)	tree	
𞤥𞤭𞤼𞥇𞤭	mitʼi	noun (G3)	moon	
𞤥𞤮𞤺𞤢	moga	verb	shine	
𞤦𞤢	ba	noun (G2)	squirrel	
𞤨𞤮	po	noun (G1/G2)	eye	
𞤩𞤢	ɓa	verb	idle	
𞤩𞤢𞤲𞤮	ɓano	noun (G4)	clay	
𞤩𞤫𞤲𞤮	ɓɛno	noun (G3)	sun	
𞤩𞤭𞤼𞤮	ɓito	noun (G6)	day	
𞤬𞤭𞤼𞤮	θito	noun (G4)	vine	
𞤬𞤮	θo	noun (G2)	cat	
𞤯𞤢	ɗa	verb	make	
𞤯𞤫𞤸𞤮	ɗɛɬo	noun (G5)	house	
𞤯𞤮𞤬𞤢	ɗoθa	noun (G4)	rose	
𞤳𞤫𞤩𞤭	kɛɓi	noun (G4)	berry	
𞤳𞤭𞤤𞤮	kilo	noun (G2)	small bird	
𞤳𞤭𞤬𞤮	kiθo	noun (G1/G2)	head	
𞤳𞤮𞤦𞤭	kobi	noun (G2)	dog	
𞤸𞤢	ɬa	verb	eat	
𞤸𞤢𞤬𞤢	ɬaθa	noun (G3)	rain	
𞤸𞤫𞤩𞤭	ɬɛɓi	noun (G1)	hand	
𞤹𞤫𞤤𞤭	qɛli	noun (G1/G2)	mouth	
𞤹𞤭𞤲𞤭	qini	noun (G3)	river	
𞤼𞤢	ta	verb	throw (pottery)	
