Adlam	Phonetic	Part of Speech	Definitions	Tags
𞤤𞤢	la	verb	go	
𞤥𞤢	ma	noun (G4)	tree	
𞤥𞤭𞤼𞥇𞤭	mitʼi	noun (G3)	moon	
𞤥𞤮𞤺𞤢	moga	verb	shine	
𞤦𞤢	ba	noun (G2)	squirrel	
𞤨𞤢𞤹𞥇𞤮	paqʼo	noun (G5)	hill	
𞤨𞤮	po	noun (G1/G2)	eye	
𞤨𞥇𞤢𞤹𞥇𞤮	pʼaqʼo	noun (G4)	grass	
𞤨𞥇𞤫𞤼𞤢	pʼɛta	verb	cook (with heat)	
𞤩𞤢	ɓa	verb	idle	
𞤩𞤢𞤲𞤮	ɓano	noun (G4)	clay	
𞤩𞤭𞤼𞤮	ɓito	noun (G6)	day	
𞤩𞤮𞤲𞤮	ɓono	noun (G3)	sun	
𞤬𞤭𞤼𞤮	θito	noun (G4)	vine	
𞤬𞤮	θo	noun (G2)	cat	
𞤯𞤢	ɗa	verb	make	
𞤯𞤮𞤬𞤢	ɗoθa	noun (G4)	rose	
𞤯𞤮𞤸𞤮	ɗoɬo	noun (G5)	house	
𞤳𞤫𞤩𞤭	kɛɓi	noun (G4)	berry	
𞤳𞤭𞤤𞤮	kilo	noun (G2)	small bird	
𞤳𞤭𞤬𞤮	kiθo	noun (G1/G2)	head	
𞤳𞤮𞤦𞤭	kobi	noun (G2)	dog	
𞤳𞥇𞤢	kʼa	verb	sit	
𞤸𞤢	ɬa	verb	eat	
𞤸𞤢𞤬𞤢	ɬaθa	noun (G3)	rain	
𞤸𞤫𞤩𞤭	ɬɛɓi	noun (G1)	hand	
𞤹𞤢𞤹𞥇𞤮	qaqʼo	noun (G2)	fish	
𞤹𞤫𞤤𞤭	qɛli	noun (G1/G2)	mouth	
𞤹𞤭𞤲𞤭	qini	noun (G3)	river	
𞤹𞥇𞤢𞤬𞤢	qʼaθa	verb	speak	
𞤼𞤢	ta	verb	throw (pottery)	
𞤼𞥇𞤢𞤹𞤢	tʼaqa	verb	wear (clothing)	
𞤼𞥇𞤢𞤼𞤢	tʼata	noun (G3)	snow	
𞤼𞥇𞤫𞤬𞤢	tʼɛθa	noun (G1/G2)	foot	
𞤼𞥇𞤫𞤹𞤭	tʼɛqi	noun (G3)	road/path	
