Adlam	Phonetic	Part of Speech	Definitions	Tags
𞤤𞤢𞤸𞤢𞤲𞤢	laɬana	adverb	today	
𞤬𞤫𞤲𞤭	θɛni	adverb	not; negates the primary verb	
𞤳𞥇𞤮𞤹𞥇𞤭𞤬𞤮	kʼoqʼiθo	adverb	evening	
𞤼𞥇𞤫𞤦𞤮	tʼɛbo	adverb	additionally; backgrounds the modified verb compared to a matrix verb	
𞤨𞤭𞤺𞤭	piɡi	incorporated noun	(by way of) vehicle	
𞤣𞤫𞤺𞤮	dɛɡo	modifier	red	color
𞤦𞤫𞤣𞤢	bɛda	modifier	white	color
𞤨𞤭𞤨𞥇𞤫𞤳𞤫𞤤𞤮	pipʼɛkɛlo	modifier	color of brown clay	color
𞤨𞤭𞤬𞤮	piθo	modifier	necessary	
𞤨𞥇𞤮𞤼𞥇𞤫𞤥𞤭	pʼotʼɛmi	modifier	composed	
𞤯𞤢𞤥𞤢𞤳𞤢	ɗamaka	modifier	daily	
𞤺𞤮𞤯𞤭𞤨𞤮𞤼𞤫𞤹𞥇𞤮	ɡoɗipotɛqʼo	modifier	forest-green	color
𞤼𞤢𞤹𞥇𞤮	taqʼo	modifier	black	color
𞤼𞤫𞤹𞥇𞤮	tɛqʼo	modifier	green/blue	color
𞤼𞤫𞤺𞤫𞤼𞥇𞤭	tɛɡɛtʼi	modifier	favorite	
𞤼𞤮𞤯𞤭𞤼𞤭	toɗitʼi	modifier	cultural	
𞤼𞥇𞤭𞤬𞤮	tʼiθo	modifier	yellow	color
𞤥𞤢𞤦𞤮	mabo	noun (G1)	we (dual); G1.1DU	pronoun
𞤥𞤮	mo	noun (G1)	I; G1.1SG	pronoun
𞤦𞤮𞤹𞥇𞤫𞤸𞤭	boqʼɛɬi	noun (G1)	partner; spouse	
𞤥𞤭𞤲𞤭𞤦𞤮	minibo	noun (G3)	dog	
𞤩𞤫𞤼𞥇𞤮𞤼𞥇𞤢	ɓɛtʼotʼa	noun (G4)	letter	
𞤤𞤫𞤳𞤭𞤼𞥇𞤮	lɛkitʼo	noun (G5)	noodle	
𞤤𞤮𞤣𞤭𞤨𞤫	lodipɛ	noun (G5)	origin	
𞤥𞤭𞤲𞤫𞤬𞤢	minɛθa	noun (G5)	home	
𞤥𞤮𞤼𞤫𞤩𞤢	motɛɓa	noun (G5)	marterial	
𞤨𞤭𞤨𞥇𞤫𞤤𞤮	pipʼɛlo	noun (G5)	brown clay	
𞤳𞤢𞤤𞤮𞤩𞤭	kaloɓi	noun (G5)	school	
𞤳𞤭𞤩𞤮𞤬𞤭	kiɓoθi	noun (G5)	clothing covering legs and chest and secured at the shoulders; overalls	
𞤳𞥇𞤫𞤣𞤫𞤹𞥇𞤭	kʼɛdɛqʼi	noun (G5)	button-down shirt	
𞤳𞥇𞤮𞤣𞤫𞤹𞥇𞤢	kʼodɛqʼa	noun (G5)	clothing; outfit	
𞤹𞤢𞤥𞤫𞤨𞤮	qamɛpʼo	noun (G5)	cheese	
𞤺𞤮𞤯𞤭𞤨𞤮	ɡoɗipo	noun (G5)	forest	
𞤼𞥇𞤭𞤣𞤮	tʼido	noun (G5)	it; G5.SG	pronoun
𞤬𞤫𞤸𞤢𞤤𞤭	θɛɬali	noun (G6)	yesterday	
𞤼𞥇𞤢𞤦𞤮𞤹𞤭	tʼaboqi	noun (G6)	walk, stroll	
𞤳𞤭𞤼𞤭	kiti	numeral	two	
𞤬𞤫𞤦𞤢𞤳𞥇	θɛbakʼ-	verb	wear	
𞤲𞤫𞤺𞤭𞤣	nɛɡid-	verb	spoil	
𞤳𞤭𞤣𞤮𞤦	kidob-	verb	bite	
𞤳𞥇𞤢𞤣𞤮𞤥	kʼadom-	verb	clarify	
𞤳𞥇𞤮𞤨𞥇	kʼopʼ-	verb	go	
𞤹𞤫𞤬𞤮𞤦	qɛθob-	verb	write	
𞤼𞤢𞤺𞤮𞤸	taɡoɬ-	verb	discuss	
